OBJECTID,Facility_N,Type,Owner,County,Sub_County,Division,Location,Sub_Locati,Constituen,Nearest_To,Latitude,Longitude
8013,Pona Haraka Clinic,Medical Clinic,Private Enterprise (Institution),Kitui,Mutomo,Mutomo,Kibwea,Kawelu,KITUI SOUTH,Mutomo,-1.50951,38.12469
8014,Pona Mat Dispensary,Dispensary,Private Enterprise (Institution),Nairobi,Ruaraka,Kasarani,Kahawa, ,RUARAKA,Nairobi,-1.23264,36.9633
8015,Pona Medical and Eye Care Centre,Medical Clinic,Private Practice - Clinical Officer,Kitui,Mwingi Central,Mwingi,Mwingi,Mwingi,MWINGI SOUTH,Mwingi Town,-0.94236,38.06364
8016,Pona Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kakamega,Butere,Shiatsala,Shiatsala,Shiatsala,BUTERE,Butere,0.20588,34.49015
8017,Pona Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,Mathira East,Mathira,Karatina, ,MATHIRA,Karatina,-0.48158,37.12301
8018,Pona Services Opd,Medical Clinic,Private Practice - General Practitioner,Kajiado,Kajiado North,Isinya,Kitengela,Kitengela,KAJIADO NORTH,Kitengela,-1.47335,36.9591
8019,Pona VCT,VCT Centre (Stand-Alone),Private Practice - Unspecified,Migori,Rongo,Rongo,Central Kamangambo,Kabuoro,RONGO,Near Rongo Markert,-0.75181,34.59793
8020,Pondeni Medical Clinic,Medical Clinic,Private Enterprise (Institution),Machakos,Athi River,Athi River,Lukenya,Mathatani,KATHIANI,Makutano-Kyumbi,-1.52695,37.0734
8021,Ponge Dispensary,Dispensary,Ministry of Health,Homa Bay,Ndhiwa,Riana,South Kabuoch,Kamenya,NDHIWA,Pala,-0.84191,34.45558
8022,Ponge Dispensary (Mbita),Dispensary,Ministry of Health,Homa Bay,Mbita,Mbita,Gembe Central,Kamreri,MBITA,Luanda,-0.52066,34.26754
8023,Ponya Clinic,Medical Clinic,Private Enterprise (Institution),Tharaka Nithi,Maara,Mwimbi,Chogoria,Kiraro,CHUKA IGAMBANGOMBE,Chogoria,-0.226155,37.6671
8024,Ponya Med Clinic,Medical Clinic,Private Practice - Clinical Officer,Makueni,Mbooni East,Kisau,Waia,Usalala,MBOONI,Mbumbuni,-1.6209,37.56282
8025,Ponya Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Makueni,Kathonzweni,Kathonzweni,Kathonzweni,Ituka,MAKUENI,Kathonzweni town,-1.6209,37.56282
8026,Ponya Surgicals Nursing Home,Nursing Home,Private Practice - Clinical Officer,Makueni,Makueni,Wote,Wote,Unoa,MAKUENI,Wote Town,-1.78304,37.628
8027,Poole Dispensary,Dispensary,Ministry of Health,West Pokot,West Pokot,Kongelai,Riwo,Poole,KAPENGURIA,Kapenguria,1.40867,35.03133
8028,Porro Dispensary,Dispensary,Ministry of Health,Samburu,Samburu Central,Kirisia,Porro,Porro,SAMBURU WEST,Porro,1.21917,36.59377
8029,Port Florence (Ndhiwa),Medical Clinic,Private Enterprise (Institution),Homa Bay,Ndhiwa,Ndhiwa,Lower Kayambo,Lower Kayambo,NDHIWA,Rimu,-0.73482,34.37116
8030,Port Florence Clinic,Medical Clinic,Private Practice - General Practitioner,Siaya,Siaya,Karemo,Township,Township,ALEGO,Siaya,0.05627,34.29105
8031,Port Florence Community Hospital Homa Bay Clinic,Medical Clinic,Non-Governmental Organizations,Homa Bay,Homa Bay,Asego,Town,Township,RANGWE,Homabay Town,-0.54,34.5
8032,Port Florence Community Hospital Mbita,Medical Clinic,Non-Governmental Organizations,Homa Bay,Mbita,Mbita,Mbita,Township,MBITA,Mbita,-0.42385,34.2073
8033,Port Florence Hospital,Other Hospital,Private Enterprise (Institution),Kisumu,Kisumu West,Winam,Township,Bandani,KISUMU TOWN EAST,Kisumu,-0.07429,34.70296
8034,Port Health Dispensary (Langata),Dispensary,Ministry of Health,Nairobi,Langata,Lang'ata,Mugumoini,Mugumoini,LANG'ATA,Nairobi West,-1.31743,36.81579
8035,Port Health Dispensary (Wajir East),Dispensary,Ministry of Health,Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.73192,40.08752
8036,Port Health Dispensary Lokichoggio,Dispensary,Ministry of Health,Turkana,Turkana West,Lokichoggio,Lokichoggio,Lokichoggio,TURKANA WEST,Lokichoggio,4.20288,34.34985
8037,Port Reitz District Hospital,District Hospital,Ministry of Health,Mombasa,Changamwe,Changamwe,Portreitz,Portreitz,CHANGAMWE,Mombasa,-4.03883,39.60313
8038,Port Reitz MTC Dispensary,Medical Clinic,Academic (if registered),Mombasa,Changamwe,Changamwe,Portreitz,Portreitz,CHANGAMWE,Mombasa,-4.03515,39.6011
8039,Port Victoria Hospital,District Hospital,Ministry of Health,Busia,Bunyala,Budalangi,Bunyala West,Bukani,BUDALANGI,Port Victoria,0.0972,33.97581
8040,Portland dispensary,Dispensary,Ministry of Health,Kajiado,Kajiado Central,Central,Lelleshwa,Portland,KAJIADO CENTRAL,Portland,-2.20468,36.84005
8041,Portreitz Youth Friendly Centre,VCT Centre (Stand-Alone),Ministry of Health,Mombasa,Changamwe,Changamwe,Portreitz,Portreitz,CHANGAMWE,Mombasa,-4.03874,39.60344
8042,Positive Partner Network VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,Nairobi,Starehe,Central,Central,Central,STAREHE,CBD,-1.27651,36.82402
8043,Posland Medical Clinic,Medical Clinic,Private Enterprise (Institution),Meru,Imenti North,Miriga Mieru West, , ,NORTH IMENTI,Meru,0.04636,37.6595
8044,Post Bank Staff Clinic,Medical Clinic,Private Practice - General Practitioner,Nairobi,Starehe,Central,City Cenre,CBD,STAREHE,City Market,-1.28454,36.82141
8045,Pr Health Services,Not in List,Private Practice - Nurse / Midwife,Meru,Imenti North,Buuri,Kiirua,Kiirua,NORTH IMENTI,Kiirua market,0.12075,37.55967
8046,Pr Medical Clinic (Buuri),Medical Clinic,Private Enterprise (Institution),Meru,Buuri,Buuri,Kiirua,Kiirua,NORTH IMENTI,Meru,0.12074,37.55969
8047,Pr Medical Clinic (Ngushishi),Medical Clinic,Private Enterprise (Institution),Meru,Buuri,Ngushishi, , ,NORTH IMENTI, ,0.055526,37.3405
8048,Precious Care Medical Centre,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Ruiru,Ruiru,Toll,Murera,JUJA,Ruiru,-1.19946,36.98251
8049,Precious Life Health Services,Medical Clinic,Private Practice - General Practitioner,Meru,Igembe South,Maua,Maua,Amwathi,IGEMBE,Maua town,0.23589,37.93959
8050,Premier Bag and Cordage Dispensary,Dispensary,Company Medical Service,Kiambu,Thika West,Ruiru,Juja,Kalimoni,JUJA,Juja,-1.13528,37.0942
8051,Premier Laboratory (Nairobi),Laboratory (Stand-alone),Private Practice - Unspecified,Nairobi,Starehe,central,Central,Central,STAREHE, ,-1.28132,36.82297
8052,Premier Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Turkana,Turkana West,Kakuma,Kakuma,Murung'ole,TURKANA WEST,Kakuma,4.20614,34.3472
8053,Premier Medical Clinic (Kitui),Medical Clinic,Private Enterprise (Institution),Kitui,Kitui Central,Central,Township,Township,KITUI CENTRAL,Kitui,-1.35801,38.00909
8054,Premium Health Services,Dispensary,Private Practice - Medical Specialist,Nairobi,Embakasi North,kasarani,Kariobangi,Kariobangi,EMBAKASI NORTH,Off outering rd next to Equity bank kariobangi,-1.25852,36.87917
8055,Presbyterian Ttc Rubate Health Centre,Dispensary,Christian Health Association of Kenya,Tharaka Nithi,Meru South,Magumoni,Rubate,Rubate,CHUKA IGAMBANGOMBE,Chuka Town,-0.39741,37.6815
8056,Prescort Dispensary,Dispensary,Ministry of Health,Nairobi,Ruaraka,kasarani,Kasarani,Kasarani,RUARAKA,Kasarani,-1.10524,36.99161
8057,Prestige Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Meru,Imenti North,Mirigamieru West,Ntima West,Mpuri,NORTH IMENTI,Mpuri Market,0.05715,37.63776
8058,Prestige Health Centre (Zimerman),Medical Clinic,Private Practice - General Practitioner,Nairobi,Roysambu,Kasarani,Githurai,zimmerman,ROYSAMBU,just opp catholic church zimerman (base stage),-1.20921,36.89635
8059,Prestige Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Limuru,Limuru,bibirioni,murengeti,LIMURU,murengeti,-1.08557,36.626113
8060,Prestige Medicare Clinic Njiru,Medical Clinic,Private Practice - Clinical Officer,Nairobi,Kasarani,Njiru,Njiru,Njiru,KASARANI,Njiru,-1.1516,36.5531
8061,Prima Medical Centre,Medical Clinic,Private Practice - Medical Specialist,Mombasa,Kisauni,Kisauni,Bamburi,Mwembelegeza,KISAUNI,Bamburi Vescon 1,-4.00229,39.70663
8062,Primarosa Flower Ltd,Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,Nyandarua North,Ol-joro-orok,Gatimu,Kanguu,OL KALOU,Kanguu,-0.05736,36.39103
8063,Primary Health Services,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Kikuyu,Kabete,Kabete,Kibichiku,KABETE,Wangige Market,-1.22146,36.71486
8064,Prime Dental Clinic,Dental Clinic,Private Practice - Unspecified,Meru,Imenti North,Mirigamieru West,Municipality,Township,NORTH IMENTI,Meru,0.04492,37.65211
8065,Prime Health Services Dispensary,Dispensary,Private Enterprise (Institution),Nairobi,Roysambu,Kasarani,Kahawa,Kahawa,ROYSAMBU,kahawa west estate- cemtek building,-1.18157,36.9099
8066,Prime Medical Care,Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,Gilgil,Elementeita,Kiambogo,Kiptangwanyi,NAIVASHA,Kiptangwanyi shopping centre,-0.284252,36.3029
8067,Prime Medical Clinic,Medical Clinic,Private Enterprise (Institution),Kiambu,Thika West,Thika Municipality,Thika,Biashara,JUJA,Thika,-1.02794,37.0685
8068,Primed Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Nairobi,Embakasi Central,Kayole,Komarock,Komarock,EMBAKASI CENTRAL,Komarock,-1.2922,36.89919
8069,Primed Medical Services Komarock,Medical Clinic,Private Practice - Unspecified,Nairobi,Embakasi Central, ,komarock, ,EMBAKASI CENTRAL, ,-1.27054,36.90888
8070,Primo Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Nakuru,Gilgil,Gilgil,Gilgil, ,NAIVASHA,Gilgil Town,-0.50101,36.3256
8071,Prince Jims Medical Clinic (Machinery),Medical Clinic,Private Practice - Nurse / Midwife,Makueni,Kibwezi, , , ,KIBWEZI, ,-2.52306,38.02865
8072,Prison Dispensary,Dispensary,Ministry of Health,Nakuru,Nakuru,Municipality,Central,Viwanda,NAKURU TOWN,Nakuru Town,-0.26507,36.05441
8073,Proact services,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi,Roysambu,Rotysambu,Kahawa West,Kahawa West,ROYSAMBU,just behind kahawa west market,-1.18536,36.90234
8074,Professional Diagnostic Centre (Nairobi),Laboratory (Stand-alone),Private Practice - Unspecified,Nairobi,Starehe,central,Central,Central,STAREHE,City Market,-1.28614,36.82553
8075,Promise Medical Services,Medical Clinic,Private Practice - General Practitioner,Nairobi,Embakasi North,Roysambu,kariobangi,kariobangi,EMBAKASI NORTH,just next to land mark house kariobangi,-1.25581,36.88086
8076,Provide Inter Math Dispensary,Dispensary,Private Enterprise (Institution),Nairobi,Ruaraka,Ruaraka,Ruaraka, ,RUARAKA,Nairobi,-1.24921,36.89201
8077,Provide Internatinal Clinic (Dandora),Medical Clinic,Non-Governmental Organizations,Nairobi,Embakasi North,Dandora,Dandora, Dandora,KASARANI,Dandora phase III Market,-1.24064,36.9098
8078,Provide International Clinic (Kayole),Health Centre,Non-Governmental Organizations,Nairobi,Embakasi Central,Embakasi,Kayole,Komarock,EMBAKASI CENTRAL,Nairobi,-1.26802,36.9115
8079,Provide International Hospital Mukuru,Health Centre,Non-Governmental Organizations,Nairobi,Embakasi South, ,mukuru, ,EMBAKASI SOUTH, ,-1.32516,36.89719
8080,Provide International Korogocho,Other Hospital,Other Faith Based,Nairobi,Ruaraka,Kasarani,Kasarani, ,RUARAKA,Nairobi,-1.24976,36.87151
8081,Provide International Mutindwa Umoja Clinic,Dispensary,Non-Governmental Organizations,Nairobi,Embakasi West,Embakasi,Umoja,Umoja,EMBAKASI WEST,Mutindwa Market,-1.28031,36.8912
8082,Provide Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Kandara,Kandara,Ithiru, ,KANDARA,Gacharage Market,-0.86104,36.95991
8083,Providence Medical Centre,Medical Clinic,Private Practice - Medical Specialist,Kitui,Mwingi Central,Central,Central,Central,MWINGI SOUTH,Mwingi Town,-0.94122,38.06256
8084,Providence Whole Care,Dispensary,Private Enterprise (Institution),Nairobi,Dagoretti South,Riruta,Riruta,Ngando,DAGORETTI SOUTH,Ngando chiefs camp,-1.30242,36.73886
8085,Providenve Health Clinic,Medical Clinic,Private Enterprise (Institution),Kajiado,Kajiado North,Ngong,Matasia,Matasia,KAJIADO NORTH,Matasia,-1.3941,36.68387
8086,Provincial Police Hq VCT,VCT Centre (Stand-Alone),Other Public Institution,Nyeri,Nyeri Central,Nyeri Municipality,Mukaro, ,NYERI TOWN,Nyeri Town,-0.42011,36.94717
8087,Prudent Medical Clinic Kariobangi,Medical Clinic,Private Practice - General Practitioner,Nairobi,Embakasi West,Kariobangi,Kariobangi South,Saika,EMBAKASI WEST,Kariobangi South,-1.25736,36.91174
8088,Pserum Dispensary,Dispensary,Ministry of Health,West Pokot,West Pokot,Chepareria,Chepkopegh,Chepkopegh,KAPENGURIA,Kapenguria,1.39087,35.2206
8089,Psigirio Dispensary,Dispensary,Ministry of Health,West Pokot,West Pokot,Kapenguria,Mnagei,Psigirio,KAPENGURIA,Kapenguria,1.20816,35.0899
8090,Psigor Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,West Pokot,Pokot Central,Sigor,Weiwei,Korerach,SIGOR,Sigor,1.48316,35.46666
8091,PSTC Health Centre,Health Centre,Ministry of Health,Nairobi,Roysambu,Kasarani,Ruaraka, ,ROYSAMBU,Nairobi,-1.2812,36.82605
8092,Psyco Africa Consultancy,VCT Centre (Stand-Alone),Private Practice - Unspecified,Nakuru,Nakuru,Municipality,Langa Langa,Freehold,NAKURU TOWN,Along Kanu Street,-0.30362,36.06852
8093,Ptoyo Dipensary,Dispensary,Ministry of Health,West Pokot,West Pokot,Sook,Ptoyo,Ptoyo,KAPENGURIA,Kapenguria,1.3919,35.14633
8094,Pumwani Clinic,Dispensary,Local Authority,Nairobi,Kamukunji,Pumwani,Pumwani, ,KAMUKUNJI,Nairobi,-1.27777,36.84565
8095,Pumwani Dispensary,Dispensary,Ministry of Health,Tana River,Galole,Wenje,Ndura,Ndura,GALOLE,Majengo,-1.6107,40.06827
8096,Pumwani Majengo Dispensary,Dispensary,Local Authority,Nairobi,Kamukunji,Pumwani,Pumwani Majengo,Pumwani,KAMUKUNJI,Gikomba Market,-1.28527,36.84461
8097,Pumwani Maternity Hospital,Other Hospital,Local Authority,Nairobi,Kamukunji,Pumwani,Pumwani,Pumwani,KAMUKUNJI,Eastleigh town,-1.28028,36.84552
8098,Pumwani Maternity VCT Centre,VCT Centre (Stand-Alone),Local Authority,Nairobi,Kamukunji,Pumwani,Pumwani, ,KAMUKUNJI,Nairobi,-1.28321,36.8405
8099,Pumzika Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kilifi,Kilifi South,Kikambala,Mtwapa,Mtwapa,BAHARI,Mtwapa,-3.95112,39.74316
8100,Purity Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Mathira East,Mathira,Ichuga, ,MATHIRA,Konyu,-0.440945,37.1097
8101,Pwani (GOK) Dispensary,Dispensary,Ministry of Health,Nakuru,Njoro,Lare,Naishi,Pwani,MOLO,Pwani,-0.39356,36.02481
8102,Pwani Dispensary,Dispensary,Ministry of Health,Bungoma,Bungoma North,Mbakalo,Sirakaru,Sirakaru,KIMILILI,Naitiri,0.71013,34.9042
8103,Pwani Maternity and Nursing Home,Nursing Home,Private Enterprise (Institution),Kilifi,Kilifi North,Bahari,Township,Hospital,BAHARI,Kilifi,-3.63096,39.85396
8104,Pwani University College Clinic,Dispensary,Other Public Institution,Kilifi,Kilifi North,Bahari,Township,Sokoni,BAHARI,Kibaoni,-3.61944,39.84739
8105,Qalanqalesa Dispensary,Dispensary,Ministry of Health,Mandera,Mandera Central,Qalanqalesa,Qalanqalesa,Qalanqalesa,MANDERA CENTRAL,Fincharo,2.897,40.456
8106,Qarsadamu Dispensary,Dispensary,Ministry of Health,Mandera,Mandera Central,Qalanqalesa,Qarsadamu,Qarsadamu,MANDERA CENTRAL,Elwak,2.84705,40.682
8107,Qatar Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kwale,Msambweni,Lunga Lunga,Pongwe,Shimoni,MSAMBWENI,Shimoni,-4.64524,39.38056
8108,Quadalupe Sisters Roret,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kericho,Bureti,Roret,Kisiara,Roret,BURET,Roret,-0.50251,35.10005
8109,Quality Health Care Clinic (Naivasha),Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,Naivasha,Central,Sokoni,Sokoni,NAIVASHA,Naivasha town,-0.72014,36.43351
8110,Quarry VCT Ongata Rongai,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kajiado,Kajiado North,Ongata Rongai,Nkaimurunya,Nkaimurunya,KAJIADO NORTH,Ongata Rongai,-1.39404,36.74792
8111,Qudama Dispensary,Dispensary,Ministry of Health,Wajir,Wajir North,Gurar,Qudama,Qudama,WAJIR NORTH,Danaba,3.10688,39.49288
8112,Quebee Health Care,Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,Nakuru,Municipality,Kaptembwa,Gilanis,NAKURU TOWN,Shaburb,-0.29154,36.05258
8113,Queen Kadede Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mombasa,Kisauni,Kisauni,Kisauni,Kisauni,KISAUNI,Mombasa,-4.01207,39.67991
8114,Queen of Peace Clinic,Medical Clinic,Private Enterprise (Institution),Kiambu,Thika West,Ruiru,Juja,Juja,JUJA, ,-1.08449,36.9501
8115,Queens & Kings Health Centre,Health Centre,Private Practice - Unspecified,Embu,Mbeere North,Siakago,Nthawa,Siakago,SIAKAGO,Siakago,-0.57839,37.63431
8116,R - Care Health Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi,Dagoretti South,Riruta,Riruta,Ngando,DAGORETTI SOUTH,Karandini,-1.29946,36.75593
8117,R4C Kenya Medical Services,Medical Clinic,Other Faith Based,Kwale,Msambweni,Diani,Kinondo,Kinondo,MSAMBWENI,Mkwambani,-4.36865,39.40521
8118,Rabai Rural Health Demonstration Centre,Health Centre,Ministry of Health,Kilifi,Rabai,Rabai,Rabai,Mwele-Kisuritni,KALOLENI,Mazeras,-3.93899,39.5664
8119,Rabar Dispensary,Dispensary,Ministry of Health,Siaya,Siaya,Uranga,West Alego,Uradi,ALEGO,Rabar Shopping Centre,0.14334,34.19299
8120,Rabondo Dispensary,Dispensary,Ministry of Health,Migori,Awendo,Awendo,West Sakwa,Rabondo,URIRI,Opoya,-0.84674,34.4848
8121,Rabuor Sub county Hospital,Sub-District Hospital,Ministry of Health,Kisumu,Nyando,Kadibo,West Kochieng,Kochieng,NYANDO,Rabuor,-0.15333,34.8299
8122,Racecourse Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,Nakuru,Municipality,Lake Nakuru,Lake Nakuru,NAKURU TOWN,Nakuru Town,-0.30867,36.06729
8123,Racecourse Hospital,Other Hospital,Private Enterprise (Institution),Uasin Gishu,Wareng,Kapseret,Pioneer,Pioneer,ELDORET SOUTH,Langas,0.46416,35.25944
8124,Rachar Sugar Belt Hospital,Health Centre,Private Enterprise (Institution),Kisumu,Muhoroni,Muhoroni,Muhoroni,Muhoroni Town,MUHORONI,Muhoroni,-0.15497,35.19964
8125,Rachuonyo District Hospital,District Hospital,Ministry of Health,Homa Bay,Rachuonyo South,Kasipul,Kowidi,Kamuma,KASIPUL/KABONDO,Oyugis Town,-0.50596,34.7329
8126,Radat Dispensary,Dispensary,Ministry of Health,Baringo,Mogotio,Emining,Koibos Soi,Radat,MOGOTIO,Mogotio,0.29946,35.92264
8127,Radiant Group of Hospital (Kiambu),Other Hospital,Private Practice - General Practitioner,Kiambu,Kiambu,Municipality,Municipality,Municipality,KIAMBAA,Kiambu Town,-1.16975,36.82613
8128,Radiant Hosp Kasarani,Medical Clinic,Private Practice - General Practitioner,Nairobi,Roysambu,kasarani,kasarani,kasarani,ROYSAMBU,Next to Equity bank kasarani,-1.21814,36.90118
8129,Radiant Pangani Hospital,Other Hospital,Private Enterprise (Institution),Nairobi,Starehe,Central,Kariokor, ,STAREHE,Nairobi,-1.26979,36.8393
8130,Radienya Dispensary,Dispensary,Ministry of Health,Kisumu,Nyakach,Upper Nyakach,East Kandiang'a,Siany,NYAKACH,Sondu,-0.41036,34.97416
8131,Radier Dispensary,Dispensary,Ministry of Health,Siaya,Bondo,Usigu,C Yimbo,Got Ramogi,BONDO,Usenge,-0.02495,34.07347
8132,Rae Dispensary,Dispensary,Ministry of Health,Kisumu,Nyakach,Lower Nyakach,North Nyakach,Gem Rae,NYAKACH,Katito,-0.2382,34.95691
8133,Rafiki Clinic,Medical Clinic,Christian Health Association of Kenya,Kiambu,Kikuyu,Kikuyu,Rumwe,Rumwe,KABETE,Nderi,-1.23107,36.64386
8134,Rafiki Kenia (Private) Clinic,Not in List,Private Enterprise (Institution),Kwale,Msambweni,Diani,Kinondo,Kinondo,MSAMBWENI,Ukunda,-4.39993,39.52247
8135,Rafiki Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Mukurweini,Mukurweini,Gakindu,Gakinduini,MUKURWEINI,Gakindu,-0.56593,36.99929
8136,Rafiki Medical Clinic (Muranga North),Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Kiharu,Kiharu,Gaturi,Geitwa,KIHARU,Muranga,-0.634706,37.0923
8137,Rafiki Medical Clinic (Westlands),Medical Clinic,Private Practice - Unspecified,Nairobi,Westlands,Kangemi,Kangemi, ,WESTLANDS, ,-1.27168,36.74506
8138,Rafiki Miracle Clinic (Hindi ),Medical Clinic,Private Practice - Nurse / Midwife,Lamu,Lamu West,Hindi,Hindi,Hindi,LAMU WEST,Hindi,-2.1803,40.81503
8139,Raganga Health Centre,Health Centre,Ministry of Health,Kisii,Kisii Central,Mosocho,Bogusero,Raganga,KITUTU CHACHE,Raganga,-0.60166,34.71288
8140,Rageng'ni Dispensary,Dispensary,Ministry of Health,Siaya,Rarieda,Madiany,East Uyoma,Ragengni,RARIEDA,Ragengni,-0.28196,34.38472
8141,Ragia Forest Dispensary,Dispensary,Ministry of Health,Kiambu,Lari,Lari,Lari,Lari,LARI,Lari,-0.79401,36.67618
8142,Ragwe Dispensary,Dispensary,Ministry of Health,Homa Bay,Rachuonyo South,Kasipul,Kodera North,Kamiyawa,KASIPUL/KABONDO,Near Nyakiya Primary School,-0.52177,34.66174
8143,Raila Community Clinic,Dispensary,Ministry of Health,Nairobi,Kibra, , , ,KIBRA, ,-1.58848,36.60619
8144,Railway Dispensary,Dispensary,Ministry of Health,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi,MVITA,Majengo Market,-4.04902,39.65064
8145,Railway Training Institute Dispensary South B,Dispensary,Academic (if registered),Nairobi,Starehe,South B,Mukuru Nyayo,Nairobi South,STAREHE,Railway Training Institute,-1.31514,36.83443
8146,Railways Dispensary,Dispensary,Ministry of Health,Uasin Gishu,Eldoret West,Soy,Kibulgeng,Kamukunji,ELDORET NORTH,Eldoret,0.51596,35.27757
8147,Railways Dispensary (Kisumu),Dispensary,Ministry of Health,Kisumu,Kisumu East,Winam,Township,Northern,KISUMU TOWN EAST,Kisumu,-0.10109,34.74821
8148,Rainbow Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Langata,Lang'ata,Nairobi West,Nairobi West,LANG'ATA,Nairobi West Shopping Centre,-1.30813,36.82359
8149,Rainbow Community Care,Health Centre,Community,Kilifi,Malindi,Malindi,Malindi,Sabaki,MALINDI,Malindi,-3.18099,40.11512
8150,Rainbow Medical Burangi,Dispensary,Community,Kilifi,Malindi,Magarini,Magarini,pumwani,MALINDI,Malindi,-3.26192,40.0897
8151,Rainbow Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mandera,Mandera East,Central,Township,Township,MANDERA EAST,Mandera,3.93029,41.8686
8152,Ram Hospital,Other Hospital,Private Enterprise (Institution),Kisii,Kisii Central,Municipality,Bosongo,Bosongo,KITUTU CHACHE,Kisii Town,-0.6743,34.77374
8153,Rama Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Nairobi,Embakasi Central,Kayole,Kayole,Kayole,EMBAKASI CENTRAL,Nyando,-1.16386,36.54569
8154,Ramada Dispensary,Dispensary,Non-Governmental Organizations,Kilifi,Magarini,Marafa,Marafa,Ramada,MAGARINI,Gongoni,-2.89249,40.02373
8155,Ramah Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Ruiru,Ruiru,Ruiru,Ruiru,JUJA,Ruiru,-1.15256,36.92892
8156,Ramasha Dispensary,Dispensary,Ministry of Health,Kisii,Masaba South,Masaba,Ramasha,Metembe,NYARIBARI MASABA,Ramasha,-0.89348,34.9731
8157,Ramata Health Centre,Health Centre,Ministry of Health,Marsabit,Sololo,Obbu,Obbu,Ramata,MOYALE,Sololo,3.56284,38.63739
8158,Ramba Health Centre (Nyamira),Health Centre,Ministry of Health,Nyamira,Nyamira,Nyamira,Bogichora,Ibucha,WEST MUGIRANGO,Nyamira,-0.55751,34.00415
8159,Rambugu Dispensary (Rarieda),Dispensary,Ministry of Health,Siaya,Rarieda,Rarieda,West Asembo,Siger,RARIEDA,Ajigo Market,-0.09399,34.35616
8160,Rambula Dispensary,Dispensary,Ministry of Health,Siaya,Ugunja,Ugunja,N West Ugenya,Rambula,UGENYA,Rambula Market,0.20667,34.3044
8161,Ramos Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Kikuyu,Kikuyu,Kabete,Lower Kabete,KABETE,Wangige,-1.23047,36.71176
8162,Ramula Dispensary,Dispensary,Ministry of Health,Kisumu,Muhoroni,Miwani,Ombeyi,Ramula,MUHORONI,Ombeyi,-0.10579,34.95545
8163,Ramula Health Centre,Health Centre,Ministry of Health,Siaya,Gem,Yala,East Gem,Ramula,GEM,Ramula Shoping C,0.00116,34.52851
8164,Randago Dispensary,Dispensary,Ministry of Health,Siaya,Siaya,Karemo,South Alego,Randago,ALEGO,Randago Market,0.01429,34.29287
8165,Randung' Dispensary,Dispensary,Ministry of Health,Homa Bay,Homa Bay,Rangwe,West Gem,Kamagawi,RANGWE,Rangwe,-0.63551,34.56268
8166,Ranen (SDA) Dispensary,Dispensary,Christian Health Association of Kenya,Migori,Awendo,Awendo,North Sakwa,Kadera Lwala,RONGO,Awendo,-0.85845,34.56562
8167,Rangala Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Siaya,Ugunja,Ugunja,South Ugenya,Rangala,UGENYA,Rang'Ala Shopping Centre,0.15529,34.33179
8168,Rangenyo Health Centre,Health Centre,Christian Health Association of Kenya,Nyamira,Nyamira,Nyamaiya,W.Mugirango,Bonyaiguba,WEST MUGIRANGO,Nyamira,-0.51523,34.883
8169,Rang'ul Dispensary,Dispensary,Ministry of Health,Kisumu,Nyakach,Lower Nyakach,Rang'ul,Kasaye/ Wasare,NYAKACH,Katito Market,-0.28168,35.95438
